Cl.,Vendor,Name,Country,City,Address,PostalCode,Contact No.,Title,Product,CIN no.,Promoters,RP,VAT Registration No.,Account No.,Duplicate,Base,ILN 2,AuGr,Indus.,Chk.digit,Data line,I,IK,Date,Created by,ISR Number,Group,Group,Customer,Alt. payee,DelF,B,B,Language,Tax Number 1,Tax Number 2,Equal.tax,Liable for VAT,Telebox,Telephone 1,Telephone 2,Fax Number,Teletex number,Telex number,One-time,Payee i.dc,Tr.Prt,Fisc.addr.,Natural Person,BF,Place of birth,Birth date,Sex,Credit information number,Last ext.review,QM system,RefGr.,P.O.Bx cty,Plnt,VSR,Plant rel.,Cal,Status of Data Transfer to Next Release,Tax Jur.,Pmnt block,SCAC,CarFrgtG,TranspZone,AltPayeeAc,SAGr,Tax type,Tax no.ty.,Soc. Ins.,SI Code,Tax Number 3,Tax Number 4,Tax Number 5,S,Tax base,Profession,StGSA,Ex. manuf.,URL
,IM1A010945,ZX SOLUTIONS LIMITED, United States , Mountain View ,1600 Amphitheatre Parkway , NW1 6XE , +1-650-253-0000,Company,Cartridge Cover,U74999DL2022PTC135791,John Smith,N,33AACCT1412E1Z2,1234567890,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM1A010946,AMIT INDIA PRIVATE LIMITED, United Kingdom , London ,10 Downing Street , 94043 , +44-20-7930-4832,Company,Connectors,U45400MH2022PTC246810,Emily Johnson,N,06AABCS0805M1ZH,2345678901,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM1A010947,TVM COMPANY LIM, France , Paris ,1 Rue de la Paix , N/A , +33-1-4266-7600,Company,Control buttons,U64200KA2022PTC987654,David Anderson,N,27AABCT3784C1ZD,3456789012,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM1A010948,WAT Pvt. Ltd., Germany , Berlin ,Brandenburger Tor , 109012 , +49-30-2238-812,Company,Edge Guides,U85300DL2022PTC543219,Sarah Thompson,N,06AAEFP1428R1ZA,4567890123,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM1A010949,JAY AMBAE MARUTI LTD, Japan , Tokyo ,1-1 Nishishinjuku , 22241-330 , +81-3-3344-5111,Company,Fuser Roller,U72900MH2022PTC456789,Michael Davis,N,06AAACJ2021K1ZZ,5678901234,Yes,"Contaact No., Product",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM1A010950,CA LOGISTICS LIMITED, United States ," Washington, D.C. ",1600 Pennsylvania Avenue NW , 109012 , +1-202-456-1111,,Fuser Assembly,U24239KA2022PTC654321,Olivia Martinez,N,27AACCC5289J1ZA,6789012345,Yes,"Product, Promoters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM1A010951,TECHNICAL INDUSTRIES LTD, Italy , Venice ,Piazza San Marco , 94043 , +39-041-270-8311,Company,Ink Pump,U72900DL2022PTC135791,Christopher Wilson,Y,06AAACT4445P1ZZ,7890123456,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM1A010952,SGX EXHAUST SYSTEMS, Russia , Moscow ,Red Square , 20500 , +7-495-695-3777,Company,Printer Cabinet,U45200MH2022PTC567890,Sophia Lee,N,06AALCS9971Q1Z6,8901234567,Yes,"Address, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM1A010953,PARAM LAL SHAH, United States , Menlo Park ,1 Hacker Way , 10022 , +1-650-543-4800,Mr.,Output Tray Extension,U24239KA2022PTC234567,Matthew Brown,N,AAEPS3538D,9012345678,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM1A010954,MMRD FUND, United Arab Emirates , Dubai ,1 Sheikh Mohammed bin Rashid Blvd , 109012 , +971-4-366-8889,Company,Paper Support,U85300DL2022PTC876543,Emma Garcia,Y,27AABCG8346B1ZS,123456789,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
